التصنيف,المستوى,السؤال,الإجابة,الصورة
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,ميانمار,pic-flag-mm
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,كوبا,pic-flag-cu
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,جامايكا,pic-flag-jm
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,نيوزيلندا,pic-flag-nz
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,تنزانيا,pic-flag-tz
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,أوغندا,pic-flag-ug
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,مدغشقر,pic-flag-ma2
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,بوتسوانا,pic-flag-bw
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,موزمبيق,pic-flag-mz
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,كولومبيا,pic-flag-co
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,فنزويلا,pic-flag-ve
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,بيرو,pic-flag-pe
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,الكاميرون,pic-flag-cm
